unit_id,station_id,zone,is_sensored,entry_time_s,exit_time_s,cycle_time_s,takt_time_s,torque_reading,true_cycle_time_s,pass_fail,defect_flag,defect_cause
VEH-0002,11,Body,TRUE,503.41,534.74,31.33,30.8,,31.33,PASS,0,
VEH-0002,12,Body,TRUE,534.74,602.18,67.44,68.8,,67.44,,0,
VEH-0002,13,Body,TRUE,602.18,664.56,62.38,63.3,45.68,62.38,PASS,0,
VEH-0002,14,Body,TRUE,664.56,702.74,38.18,38.5,45.32,38.18,,0,
VEH-0002,15,Body,FALSE,702.74,736.28,,37.3,,33.54,PASS,0,
VEH-0002,16,Paint,FALSE,736.28,771.83,,37.3,,35.55,,0,
VEH-0002,17,Paint,TRUE,771.83,816.99,45.16,42.2,,45.16,,0,
VEH-0002,18,Paint,FALSE,816.99,867.94,,51,,50.95,,0,
VEH-0002,19,Paint,TRUE,867.94,911.29,43.35,47.3,43.39,43.35,,0,
VEH-0002,20,Paint,TRUE,911.29,950.83,39.54,41.6,,39.54,,0,
VEH-0002,21,Paint,TRUE,950.83,1005.61,54.78,54.5,,54.78,,0,
VEH-0002,22,Paint,TRUE,1005.61,1040.44,34.83,35.6,,34.83,PASS,0,
VEH-0002,23,Final Assembly,TRUE,1040.44,1080.76,40.32,41.7,,40.32,,0,
VEH-0002,24,Final Assembly,TRUE,1080.76,1125.47,44.71,44.7,,44.71,,0,
VEH-0002,25,Final Assembly,TRUE,1125.47,1174.82,49.35,48.2,,49.35,,0,
VEH-0002,26,Final Assembly,TRUE,1174.82,1235.42,60.6,61.4,,60.6,PASS,0,
VEH-0002,27,Final Assembly,TRUE,1235.42,1272.33,36.91,38,44.37,36.91,,0,
VEH-0002,28,Final Assembly,FALSE,1272.33,1323.79,,50.6,,51.46,,0,
VEH-0002,29,Final Assembly,TRUE,1323.79,1377.47,53.68,53.7,46.15,53.68,,0,
VEH-0002,30,Final Assembly,TRUE,1377.47,1407.54,30.07,31.9,,30.07,,0,
VEH-0002,31,Final Assembly,TRUE,1407.54,1459.74,52.2,54.3,,52.2,,0,
VEH-0002,32,Final Assembly,TRUE,1459.74,1497.96,38.22,36.8,,38.22,PASS,0,
VEH-0002,33,Final Assembly,TRUE,1497.96,1529.25,31.29,32.6,47.08,31.29,,0,
VEH-0002,34,Final Assembly,TRUE,1529.25,1602.03,72.78,68,,72.78,,0,
VEH-0002,35,Final Assembly,TRUE,1602.03,1675.41,73.38,68.6,,73.38,,0,
VEH-0002,36,Final Assembly,TRUE,1675.41,1734.96,59.55,62.3,45.12,59.55,,0,
VEH-0002,37,Final Assembly,TRUE,1734.96,1776.12,41.16,42.2,,41.16,,0,
VEH-0002,38,Final Assembly,TRUE,1776.12,1811.59,35.47,33.9,,35.47,,0,
VEH-0002,39,Final Assembly,FALSE,1811.59,1873.89,,57.4,,62.3,,0,
VEH-0002,40,Final Assembly,TRUE,1873.89,1923.57,49.68,47.6,,49.68,,0,
VEH-0003,1,Body,FALSE,0,45.51,,45,,45.51,,0,
VEH-0003,2,Body,FALSE,45.51,117.95,,68,,72.44,,0,
VEH-0003,3,Body,FALSE,117.95,172.49,,59.3,,54.54,,0,
VEH-0003,4,Body,TRUE,172.49,226.89,54.4,53.9,,54.4,,0,
VEH-0003,5,Body,TRUE,226.89,263.56,36.67,36.2,,36.67,PASS,0,
VEH-0003,6,Body,FALSE,263.56,301.18,,36.2,,37.62,,0,
VEH-0003,7,Body,FALSE,301.18,331.49,,32.3,,30.31,,0,
VEH-0003,8,Body,FALSE,331.49,391.82,,64.6,,60.33,,0,
VEH-0003,9,Body,FALSE,391.82,447.23,,54,,55.41,PASS,0,
VEH-0003,10,Body,TRUE,447.23,506.4,59.17,58.3,,59.17,,0,
VEH-0003,11,Body,TRUE,506.4,537.59,31.19,30.8,,31.19,PASS,0,
VEH-0003,12,Body,TRUE,537.59,607.58,69.99,68.8,,69.99,,0,
VEH-0003,13,Body,TRUE,607.58,668.72,61.14,63.3,45.35,61.14,PASS,0,
VEH-0003,14,Body,TRUE,668.72,707.79,39.07,38.5,43.93,39.07,,0,
VEH-0003,15,Body,FALSE,707.79,748.56,,37.3,,40.77,PASS,0,
VEH-0003,16,Paint,FALSE,748.56,786.74,,37.3,,38.18,,0,
VEH-0003,17,Paint,TRUE,786.74,826.43,39.69,42.2,,39.69,,0,
VEH-0003,18,Paint,FALSE,826.43,879.1,,51,,52.67,,0,
VEH-0003,19,Paint,TRUE,879.1,924.1,45,47.3,46.18,45,,0,
VEH-0003,20,Paint,TRUE,924.1,968.11,44.01,41.6,,44.01,,0,
VEH-0003,21,Paint,TRUE,968.11,1020.37,52.26,54.5,,52.26,,0,
VEH-0003,22,Paint,TRUE,1020.37,1057.68,37.31,35.6,,37.31,PASS,0,
VEH-0003,23,Final Assembly,TRUE,1057.68,1100.24,42.56,41.7,,42.56,,0,
VEH-0003,24,Final Assembly,TRUE,1100.24,1146.78,46.54,44.7,,46.54,,0,
VEH-0003,25,Final Assembly,TRUE,1146.78,1199.55,52.77,48.2,,52.77,,0,
VEH-0003,26,Final Assembly,TRUE,1199.55,1260.2,60.65,61.4,,60.65,PASS,0,
VEH-0003,27,Final Assembly,TRUE,1260.2,1296.77,36.57,38,43.67,36.57,,0,
VEH-0003,28,Final Assembly,FALSE,1296.77,1345.31,,50.6,,48.54,,0,
VEH-0003,29,Final Assembly,TRUE,1345.31,1398.8,53.49,53.7,45.51,53.49,,0,
VEH-0003,30,Final Assembly,TRUE,1398.8,1431.14,32.34,31.9,,32.34,,0,
VEH-0003,31,Final Assembly,TRUE,1431.14,1487.68,56.54,54.3,,56.54,,0,
VEH-0003,32,Final Assembly,TRUE,1487.68,1524.5,36.82,36.8,,36.82,PASS,0,
VEH-0003,33,Final Assembly,TRUE,1524.5,1559.47,34.97,32.6,44.6,34.97,,0,
VEH-0003,34,Final Assembly,TRUE,1559.47,1636.72,77.25,68,,77.25,,0,
VEH-0003,35,Final Assembly,TRUE,1636.72,1707.47,70.75,68.6,,70.75,,0,
VEH-0003,36,Final Assembly,TRUE,1707.47,1767.1,59.63,62.3,43.39,59.63,,0,
VEH-0003,37,Final Assembly,TRUE,1767.1,1810.32,43.22,42.2,,43.22,,0,
VEH-0003,38,Final Assembly,TRUE,1810.32,1843.84,33.52,33.9,,33.52,,0,
VEH-0003,39,Final Assembly,FALSE,1843.84,1903.29,,57.4,,59.45,,0,
VEH-0003,40,Final Assembly,TRUE,1903.29,1952.02,48.73,47.6,,48.73,,0,
VEH-0004,1,Body,FALSE,0,44.84,,45,,44.84,,0,
VEH-0004,2,Body,FALSE,44.84,116.44,,68,,71.6,,0,
VEH-0004,3,Body,FALSE,116.44,175.89,,59.3,,59.45,,0,
VEH-0004,4,Body,TRUE,175.89,232.15,56.26,53.9,,56.26,,0,
VEH-0004,5,Body,TRUE,232.15,270.28,38.13,36.2,,38.13,PASS,0,
VEH-0004,6,Body,FALSE,270.28,304.74,,36.2,,34.46,,0,
VEH-0004,7,Body,FALSE,304.74,339.27,,32.3,,34.53,,0,
VEH-0004,8,Body,FALSE,339.27,406.79,,64.6,,67.52,,0,
VEH-0004,9,Body,FALSE,406.79,459.16,,54,,52.37,PASS,0,
VEH-0004,10,Body,TRUE,459.16,518.35,59.19,58.3,,59.19,,0,
VEH-0004,11,Body,TRUE,518.35,549.55,31.2,30.8,,31.2,PASS,0,
VEH-0004,12,Body,TRUE,549.55,618.43,68.88,68.8,,68.88,,0,
VEH-0004,13,Body,TRUE,618.43,684.49,66.06,63.3,47.16,66.06,PASS,0,
VEH-0004,14,Body,TRUE,684.49,723,38.51,38.5,47,38.51,,0,
VEH-0004,15,Body,FALSE,723,762.14,,37.3,,39.14,PASS,0,
VEH-0004,16,Paint,FALSE,762.14,799.87,,37.3,,37.73,,0,
VEH-0004,17,Paint,TRUE,799.87,842.44,42.57,42.2,,42.57,,0,
VEH-0004,18,Paint,FALSE,842.44,890.5,,51,,48.06,,0,
VEH-0004,19,Paint,TRUE,890.5,934.26,43.76,47.3,45.25,43.76,,0,
VEH-0004,20,Paint,TRUE,934.26,974.08,39.82,41.6,,39.82,,0,
VEH-0004,21,Paint,TRUE,974.08,1028.47,54.39,54.5,,54.39,,0,
VEH-0004,22,Paint,TRUE,1028.47,1063.12,34.65,35.6,,34.65,PASS,0,
VEH-0004,23,Final Assembly,TRUE,1063.12,1101.08,37.96,41.7,,37.96,,0,
VEH-0004,24,Final Assembly,TRUE,1101.08,1146.58,45.5,44.7,,45.5,,0,
VEH-0004,25,Final Assembly,TRUE,1146.58,1193.78,47.2,48.2,,47.2,,0,
VEH-0004,26,Final Assembly,TRUE,1193.78,1255.43,61.65,61.4,,61.65,PASS,0,
VEH-0004,27,Final Assembly,TRUE,1255.43,1291.73,36.3,38,44.5,36.3,,0,
VEH-0004,28,Final Assembly,FALSE,1291.73,1346.28,,50.6,,54.55,,0,
VEH-0004,29,Final Assembly,TRUE,1346.28,1400.33,54.05,53.7,45.82,54.05,,0,
VEH-0004,30,Final Assembly,TRUE,1400.33,1430.21,29.88,31.9,,29.88,,0,
VEH-0004,31,Final Assembly,TRUE,1430.21,1490.98,60.77,54.3,,60.77,,0,
VEH-0004,32,Final Assembly,TRUE,1490.98,1531.17,40.19,36.8,,40.19,PASS,0,
VEH-0004,33,Final Assembly,TRUE,1531.17,1565.99,34.82,32.6,46.24,34.82,,0,
VEH-0004,34,Final Assembly,TRUE,1565.99,1634.04,68.05,68,,68.05,,0,
VEH-0004,35,Final Assembly,TRUE,1634.04,1704.16,70.12,68.6,,70.12,,0,
VEH-0004,36,Final Assembly,TRUE,1704.16,1769.73,65.57,62.3,44.06,65.57,,0,
VEH-0004,37,Final Assembly,TRUE,1769.73,1810.99,41.26,42.2,,41.26,,0,
VEH-0004,38,Final Assembly,TRUE,1810.99,1842.05,31.06,33.9,,31.06,,0,
VEH-0004,39,Final Assembly,FALSE,1842.05,1897.23,,57.4,,55.18,,0,
VEH-0004,40,Final Assembly,TRUE,1897.23,1948.78,51.55,47.6,,51.55,,0,
VEH-0005,1,Body,FALSE,0,46,,45,,46,,0,
VEH-0005,2,Body,FALSE,46,116.63,,68,,70.63,,0,
VEH-0005,3,Body,FALSE,116.63,173.19,,59.3,,56.56,,0,
VEH-0005,4,Body,TRUE,173.19,226.93,53.74,53.9,,53.74,,0,
VEH-0005,5,Body,TRUE,226.93,257.26,30.33,36.2,,30.33,PASS,0,
VEH-0005,6,Body,FALSE,257.26,291.61,,36.2,,34.35,,0,
VEH-0005,7,Body,FALSE,291.61,323.5,,32.3,,31.89,,0,
VEH-0005,8,Body,FALSE,323.5,384.07,,64.6,,60.57,,0,
VEH-0005,9,Body,FALSE,384.07,442.48,,54,,58.41,PASS,0,
VEH-0005,10,Body,TRUE,442.48,496.6,54.12,58.3,,54.12,,0,
VEH-0005,11,Body,TRUE,496.6,526.72,30.12,30.8,,30.12,PASS,0,
VEH-0005,12,Body,TRUE,526.72,595.97,69.25,68.8,,69.25,,0,
VEH-0005,13,Body,TRUE,595.97,663.84,67.87,63.3,42.85,67.87,PASS,0,
VEH-0005,14,Body,TRUE,663.84,704.58,40.74,38.5,45.02,40.74,,0,
VEH-0005,15,Body,FALSE,704.58,740.05,,37.3,,35.47,PASS,0,
VEH-0005,16,Paint,FALSE,740.05,778.21,,37.3,,38.16,,0,
VEH-0005,17,Paint,TRUE,778.21,820.83,42.62,42.2,,42.62,,0,
VEH-0005,18,Paint,FALSE,820.83,870.3,,51,,49.47,,0,
VEH-0005,19,Paint,TRUE,870.3,917.76,47.46,47.3,44.42,47.46,,0,
VEH-0005,20,Paint,TRUE,917.76,959.6,41.84,41.6,,41.84,,0,
VEH-0005,21,Paint,TRUE,959.6,1015.91,56.31,54.5,,56.31,,0,
VEH-0005,22,Paint,TRUE,1015.91,1054.33,38.42,35.6,,38.42,PASS,0,
VEH-0005,23,Final Assembly,TRUE,1054.33,1093.44,39.11,41.7,,39.11,,0,
VEH-0005,24,Final Assembly,TRUE,1093.44,1142.92,49.48,44.7,,49.48,,0,
VEH-0005,25,Final Assembly,TRUE,1142.92,1186.42,43.5,48.2,,43.5,,0,
VEH-0005,26,Final Assembly,TRUE,1186.42,1247.35,60.93,61.4,,60.93,PASS,0,
VEH-0005,27,Final Assembly,TRUE,1247.35,1286.47,39.12,38,45.42,39.12,,0,
VEH-0005,28,Final Assembly,FALSE,1286.47,1335.49,,50.6,,49.02,,0,
VEH-0005,29,Final Assembly,TRUE,1335.49,1388.63,53.14,53.7,44.26,53.14,,0,
VEH-0005,30,Final Assembly,TRUE,1388.63,1419.59,30.96,31.9,,30.96,,0,
VEH-0005,31,Final Assembly,TRUE,1419.59,1476.19,56.6,54.3,,56.6,,0,
VEH-0005,32,Final Assembly,TRUE,1476.19,1513.65,37.46,36.8,,37.46,PASS,0,
VEH-0005,33,Final Assembly,TRUE,1513.65,1545.12,31.47,32.6,46.35,31.47,,0,
VEH-0005,34,Final Assembly,TRUE,1545.12,1614.16,69.04,68,,69.04,,0,
VEH-0005,35,Final Assembly,TRUE,1614.16,1685.55,71.39,68.6,,71.39,,0,
VEH-0005,36,Final Assembly,TRUE,1685.55,1749.81,64.26,62.3,43.76,64.26,,0,
VEH-0005,37,Final Assembly,TRUE,1749.81,1790.83,41.02,42.2,,41.02,,0,
VEH-0005,38,Final Assembly,TRUE,1790.83,1826,35.17,33.9,,35.17,,0,
VEH-0005,39,Final Assembly,FALSE,1826,1885.15,,57.4,,59.15,,0,
VEH-0005,40,Final Assembly,TRUE,1885.15,1932.7,47.55,47.6,,47.55,,0,
VEH-0006,1,Body,FALSE,0,45.26,,45,,45.26,,0,
VEH-0006,2,Body,FALSE,45.26,112.34,,68,,67.08,,0,
VEH-0006,3,Body,FALSE,112.34,169.83,,59.3,,57.49,,0,
VEH-0006,4,Body,TRUE,169.83,228.89,59.06,53.9,,59.06,,0,
VEH-0006,5,Body,TRUE,228.89,267.02,38.13,36.2,,38.13,PASS,0,
VEH-0006,6,Body,FALSE,267.02,299.98,,36.2,,32.96,,0,
VEH-0006,7,Body,FALSE,299.98,331.56,,32.3,,31.58,,0,
VEH-0006,8,Body,FALSE,331.56,400.05,,64.6,,68.49,,0,
VEH-0006,9,Body,FALSE,400.05,450.82,,54,,50.77,PASS,0,
VEH-0006,10,Body,TRUE,450.82,511.37,60.55,58.3,,60.55,,0,
VEH-0006,11,Body,TRUE,511.37,543.2,31.83,30.8,,31.83,PASS,0,
VEH-0006,12,Body,TRUE,543.2,609.59,66.39,68.8,,66.39,,0,
VEH-0006,13,Body,TRUE,609.59,672.86,63.27,63.3,41.86,63.27,PASS,0,
VEH-0006,14,Body,TRUE,672.86,714.78,41.92,38.5,44.54,41.92,,0,
VEH-0006,15,Body,FALSE,714.78,753.58,,37.3,,38.8,PASS,0,
VEH-0006,16,Paint,FALSE,753.58,792.02,,37.3,,38.44,,0,
VEH-0006,17,Paint,TRUE,792.02,837.09,45.07,42.2,,45.07,,0,
VEH-0006,18,Paint,FALSE,837.09,886.99,,51,,49.9,,0,
VEH-0006,19,Paint,TRUE,886.99,934.77,47.78,47.3,45.84,47.78,,0,
VEH-0006,20,Paint,TRUE,934.77,978.18,43.41,41.6,,43.41,,0,
VEH-0006,21,Paint,TRUE,978.18,1035.83,57.65,54.5,,57.65,,0,
VEH-0006,22,Paint,TRUE,1035.83,1070.58,34.75,35.6,,34.75,PASS,0,
VEH-0006,23,Final Assembly,TRUE,1070.58,1110.89,40.31,41.7,,40.31,,0,
VEH-0006,24,Final Assembly,TRUE,1110.89,1158.64,47.75,44.7,,47.75,,0,
VEH-0006,25,Final Assembly,TRUE,1158.64,1201.93,43.29,48.2,,43.29,,0,
VEH-0006,26,Final Assembly,TRUE,1201.93,1268.15,66.22,61.4,,66.22,PASS,0,
VEH-0006,27,Final Assembly,TRUE,1268.15,1305.58,37.43,38,44.99,37.43,,0,
VEH-0006,28,Final Assembly,FALSE,1305.58,1354.45,,50.6,,48.87,,0,
VEH-0006,29,Final Assembly,TRUE,1354.45,1408.02,53.57,53.7,46.91,53.57,,0,
VEH-0006,30,Final Assembly,TRUE,1408.02,1441.15,33.13,31.9,,33.13,,0,
VEH-0006,31,Final Assembly,TRUE,1441.15,1496.79,55.64,54.3,,55.64,,0,
VEH-0006,32,Final Assembly,TRUE,1496.79,1533.75,36.96,36.8,,36.96,PASS,0,
VEH-0006,33,Final Assembly,TRUE,1533.75,1563.99,30.24,32.6,43.73,30.24,,0,
VEH-0006,34,Final Assembly,TRUE,1563.99,1630.82,66.83,68,,66.83,,0,
VEH-0006,35,Final Assembly,TRUE,1630.82,1700.99,70.17,68.6,,70.17,,0,
VEH-0006,36,Final Assembly,TRUE,1700.99,1763.51,62.52,62.3,46.48,62.52,,0,
VEH-0006,37,Final Assembly,TRUE,1763.51,1806.71,43.2,42.2,,43.2,,0,
VEH-0006,38,Final Assembly,TRUE,1806.71,1840.7,33.99,33.9,,33.99,,0,
VEH-0006,39,Final Assembly,FALSE,1840.7,1904.63,,57.4,,63.93,,0,
VEH-0006,40,Final Assembly,TRUE,1904.63,1953.2,48.57,47.6,,48.57,,0,
VEH-0007,1,Body,FALSE,0,43.29,,45,,43.29,,0,
VEH-0007,2,Body,FALSE,43.29,111.8,,68,,68.51,,0,
VEH-0007,3,Body,FALSE,111.8,172.11,,59.3,,60.31,,0,
VEH-0007,4,Body,TRUE,172.11,231.08,58.97,53.9,,58.97,,0,
VEH-0007,5,Body,TRUE,231.08,269,37.92,36.2,,37.92,PASS,0,
VEH-0007,6,Body,FALSE,269,304.16,,36.2,,35.16,,0,
VEH-0007,7,Body,FALSE,304.16,335.01,,32.3,,30.85,,0,
VEH-0007,8,Body,FALSE,335.01,401.2,,64.6,,66.19,,0,
VEH-0007,9,Body,FALSE,401.2,451.64,,54,,50.44,PASS,0,
VEH-0007,10,Body,TRUE,451.64,515.29,63.65,58.3,,63.65,,0,
VEH-0007,11,Body,TRUE,515.29,547.91,32.62,30.8,,32.62,PASS,0,
VEH-0007,12,Body,TRUE,547.91,615.1,67.19,68.8,,67.19,,0,
VEH-0007,13,Body,TRUE,615.1,672.97,57.87,63.3,47.03,57.87,PASS,0,
VEH-0007,14,Body,TRUE,672.97,711.25,38.28,38.5,46.86,38.28,,0,
VEH-0007,15,Body,FALSE,711.25,745.58,,37.3,,34.33,PASS,0,
VEH-0007,16,Paint,FALSE,745.58,781.77,,37.3,,36.19,,0,
VEH-0007,17,Paint,TRUE,781.77,823.98,42.21,42.2,,42.21,,0,
VEH-0007,18,Paint,FALSE,823.98,875.1,,51,,51.12,,0,
VEH-0007,19,Paint,TRUE,875.1,921.34,46.24,47.3,45.93,46.24,,0,
VEH-0007,20,Paint,TRUE,921.34,960.72,39.38,41.6,,39.38,,0,
VEH-0007,21,Paint,TRUE,960.72,1014.83,54.11,54.5,,54.11,,0,
VEH-0007,22,Paint,TRUE,1014.83,1050.64,35.81,35.6,,35.81,PASS,0,
VEH-0007,23,Final Assembly,TRUE,1050.64,1093.42,42.78,41.7,,42.78,,0,
VEH-0007,24,Final Assembly,TRUE,1093.42,1139.71,46.29,44.7,,46.29,,0,
VEH-0007,25,Final Assembly,TRUE,1139.71,1185.2,45.49,48.2,,45.49,,0,
VEH-0007,26,Final Assembly,TRUE,1185.2,1241.89,56.69,61.4,,56.69,PASS,0,
VEH-0007,27,Final Assembly,TRUE,1241.89,1282.32,40.43,38,45.5,40.43,,0,
VEH-0007,28,Final Assembly,FALSE,1282.32,1331.03,,50.6,,48.71,,0,
VEH-0007,29,Final Assembly,TRUE,1331.03,1388.9,57.87,53.7,45.17,57.87,,0,
VEH-0007,30,Final Assembly,TRUE,1388.9,1422.68,33.78,31.9,,33.78,,0,
VEH-0007,31,Final Assembly,TRUE,1422.68,1477.16,54.48,54.3,,54.48,,0,
VEH-0007,32,Final Assembly,TRUE,1477.16,1517.75,40.59,36.8,,40.59,PASS,0,
VEH-0007,33,Final Assembly,TRUE,1517.75,1553.21,35.46,32.6,44.63,35.46,,0,
VEH-0007,34,Final Assembly,TRUE,1553.21,1624.51,71.3,68,,71.3,,0,
VEH-0007,35,Final Assembly,TRUE,1624.51,1695.32,70.81,68.6,,70.81,,0,
VEH-0007,36,Final Assembly,TRUE,1695.32,1761.89,66.57,62.3,43.55,66.57,,0,
VEH-0007,37,Final Assembly,TRUE,1761.89,1805.54,43.65,42.2,,43.65,,0,
VEH-0007,38,Final Assembly,TRUE,1805.54,1841.24,35.7,33.9,,35.7,,0,
VEH-0007,39,Final Assembly,FALSE,1841.24,1893.59,,57.4,,52.35,,0,
VEH-0007,40,Final Assembly,TRUE,1893.59,1938.37,44.78,47.6,,44.78,,0,
VEH-0008,1,Body,FALSE,0,40.41,,45,,40.41,,0,
VEH-0008,2,Body,FALSE,40.41,112.23,,68,,71.82,,0,
VEH-0008,3,Body,FALSE,112.23,167.26,,59.3,,55.03,,0,
VEH-0008,4,Body,TRUE,167.26,220.83,53.57,53.9,,53.57,,0,
VEH-0008,5,Body,TRUE,220.83,256.89,36.06,36.2,,36.06,PASS,0,
VEH-0008,6,Body,FALSE,256.89,291.1,,36.2,,34.21,,0,
VEH-0008,7,Body,FALSE,291.1,324.19,,32.3,,33.09,,0,
VEH-0008,8,Body,FALSE,324.19,391.2,,64.6,,67.01,,0,
VEH-0008,9,Body,FALSE,391.2,444.42,,54,,53.22,PASS,0,
VEH-0008,10,Body,TRUE,444.42,508.72,64.3,58.3,,64.3,,0,
VEH-0008,11,Body,TRUE,508.72,539.03,30.31,30.8,,30.31,PASS,0,
VEH-0008,12,Body,TRUE,539.03,606.29,67.26,68.8,,67.26,,0,
VEH-0008,13,Body,TRUE,606.29,668.08,61.79,63.3,43.78,61.79,PASS,0,
VEH-0008,14,Body,TRUE,668.08,705.5,37.42,38.5,42.85,37.42,,0,
VEH-0008,15,Body,FALSE,705.5,742.44,,37.3,,36.94,PASS,0,
VEH-0008,16,Paint,FALSE,742.44,779.85,,37.3,,37.41,,0,
VEH-0008,17,Paint,TRUE,779.85,817.23,37.38,42.2,,37.38,,0,
VEH-0008,18,Paint,FALSE,817.23,867.97,,51,,50.74,,0,
VEH-0008,19,Paint,TRUE,867.97,915.37,47.4,47.3,45.77,47.4,,0,
VEH-0008,20,Paint,TRUE,915.37,959.48,44.11,41.6,,44.11,,0,
VEH-0008,21,Paint,TRUE,959.48,1016.3,56.82,54.5,,56.82,,0,
VEH-0008,22,Paint,TRUE,1016.3,1050.8,34.5,35.6,,34.5,PASS,0,
VEH-0008,23,Final Assembly,TRUE,1050.8,1090.96,40.16,41.7,,40.16,,0,
VEH-0008,24,Final Assembly,TRUE,1090.96,1136.96,46,44.7,,46,,0,
VEH-0008,25,Final Assembly,TRUE,1136.96,1183.84,46.88,48.2,,46.88,,0,
VEH-0008,26,Final Assembly,TRUE,1183.84,1241.47,57.63,61.4,,57.63,PASS,0,
VEH-0008,27,Final Assembly,TRUE,1241.47,1283.98,42.51,38,44.53,42.51,,0,
VEH-0008,28,Final Assembly,FALSE,1283.98,1332.99,,50.6,,49.01,,0,
VEH-0008,29,Final Assembly,TRUE,1332.99,1380.79,47.8,53.7,46.28,47.8,,0,
VEH-0008,30,Final Assembly,TRUE,1380.79,1411.12,30.33,31.9,,30.33,,0,
VEH-0008,31,Final Assembly,TRUE,1411.12,1465.5,54.38,54.3,,54.38,,0,
